age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,y,month_sin,month_cos
58,4.0,1.0,2.0,0.0,2143,1.0,0.0,2.0,5,261,1,0.0,0.49999999999999994,-0.8660254037844387
44,9.0,2.0,1.0,0.0,29,1.0,0.0,2.0,5,151,1,0.0,0.49999999999999994,-0.8660254037844387
33,2.0,1.0,1.0,0.0,2,1.0,1.0,2.0,5,76,1,0.0,0.49999999999999994,-0.8660254037844387
35,4.0,1.0,2.0,0.0,231,1.0,0.0,2.0,5,139,1,0.0,0.49999999999999994,-0.8660254037844387
28,4.0,2.0,2.0,0.0,447,1.0,1.0,2.0,5,217,1,0.0,0.49999999999999994,-0.8660254037844387
42,2.0,0.0,2.0,1.0,2,1.0,0.0,2.0,5,380,1,0.0,0.49999999999999994,-0.8660254037844387
58,5.0,1.0,0.0,0.0,121,1.0,0.0,2.0,5,50,1,0.0,0.49999999999999994,-0.8660254037844387
43,9.0,2.0,1.0,0.0,593,1.0,0.0,2.0,5,55,1,0.0,0.49999999999999994,-0.8660254037844387
41,0.0,0.0,1.0,0.0,270,1.0,0.0,2.0,5,222,1,0.0,0.49999999999999994,-0.8660254037844387
29,0.0,2.0,1.0,0.0,390,1.0,0.0,2.0,5,137,1,0.0,0.49999999999999994,-0.8660254037844387
53,9.0,1.0,1.0,0.0,6,1.0,0.0,2.0,5,517,1,0.0,0.49999999999999994,-0.8660254037844387
57,7.0,1.0,1.0,0.0,162,1.0,0.0,2.0,5,174,1,0.0,0.49999999999999994,-0.8660254037844387
51,5.0,1.0,0.0,0.0,229,1.0,0.0,2.0,5,353,1,0.0,0.49999999999999994,-0.8660254037844387
57,1.0,1.0,0.0,0.0,52,1.0,0.0,2.0,5,38,1,0.0,0.49999999999999994,-0.8660254037844387
60,5.0,1.0,0.0,0.0,60,1.0,0.0,2.0,5,219,1,0.0,0.49999999999999994,-0.8660254037844387
33,7.0,1.0,1.0,0.0,0,1.0,0.0,2.0,5,54,1,0.0,0.49999999999999994,-0.8660254037844387
28,1.0,1.0,1.0,0.0,723,1.0,1.0,2.0,5,262,1,0.0,0.49999999999999994,-0.8660254037844387
56,4.0,1.0,2.0,0.0,779,1.0,0.0,2.0,5,164,1,0.0,0.49999999999999994,-0.8660254037844387
32,1.0,2.0,0.0,0.0,23,1.0,1.0,2.0,5,160,1,0.0,0.49999999999999994,-0.8660254037844387
25,7.0,1.0,1.0,0.0,50,1.0,0.0,2.0,5,342,1,0.0,0.49999999999999994,-0.8660254037844387
40,5.0,1.0,0.0,0.0,0,1.0,1.0,2.0,5,181,1,0.0,0.49999999999999994,-0.8660254037844387
44,0.0,1.0,1.0,0.0,-372,1.0,0.0,2.0,5,172,1,0.0,0.49999999999999994,-0.8660254037844387
39,4.0,2.0,2.0,0.0,255,1.0,0.0,2.0,5,296,1,0.0,0.49999999999999994,-0.8660254037844387
52,2.0,1.0,1.0,0.0,113,1.0,1.0,2.0,5,127,1,0.0,0.49999999999999994,-0.8660254037844387
46,4.0,2.0,1.0,0.0,-246,1.0,0.0,2.0,5,255,2,0.0,0.49999999999999994,-0.8660254037844387
36,9.0,2.0,1.0,0.0,265,1.0,1.0,2.0,5,348,1,0.0,0.49999999999999994,-0.8660254037844387
57,9.0,1.0,1.0,0.0,839,0.0,1.0,2.0,5,225,1,0.0,0.49999999999999994,-0.8660254037844387
49,4.0,1.0,2.0,0.0,378,1.0,0.0,2.0,5,230,1,0.0,0.49999999999999994,-0.8660254037844387
60,0.0,1.0,1.0,0.0,39,1.0,1.0,2.0,5,208,1,0.0,0.49999999999999994,-0.8660254037844387
59,1.0,1.0,1.0,0.0,0,1.0,0.0,2.0,5,226,1,0.0,0.49999999999999994,-0.8660254037844387
51,4.0,1.0,2.0,0.0,10635,1.0,0.0,2.0,5,336,1,0.0,0.49999999999999994,-0.8660254037844387
57,9.0,0.0,1.0,0.0,63,1.0,0.0,2.0,5,242,1,0.0,0.49999999999999994,-0.8660254037844387
25,1.0,1.0,1.0,0.0,-7,1.0,0.0,2.0,5,365,1,0.0,0.49999999999999994,-0.8660254037844387
53,9.0,1.0,1.0,0.0,-3,0.0,0.0,2.0,5,1666,1,0.0,0.49999999999999994,-0.8660254037844387
36,0.0,0.0,1.0,0.0,506,1.0,0.0,2.0,5,577,1,0.0,0.49999999999999994,-0.8660254037844387
37,0.0,2.0,1.0,0.0,0,1.0,0.0,2.0,5,137,1,0.0,0.49999999999999994,-0.8660254037844387
44,7.0,0.0,1.0,0.0,2586,1.0,0.0,2.0,5,160,1,0.0,0.49999999999999994,-0.8660254037844387
50,4.0,1.0,1.0,0.0,49,1.0,0.0,2.0,5,180,2,0.0,0.49999999999999994,-0.8660254037844387
54,5.0,1.0,1.0,0.0,529,1.0,0.0,2.0,5,1492,1,0.0,0.49999999999999994,-0.8660254037844387
36,0.0,2.0,0.0,0.0,-171,1.0,0.0,2.0,5,242,1,0.0,0.49999999999999994,-0.8660254037844387
58,6.0,1.0,2.0,0.0,-364,1.0,0.0,2.0,5,355,1,0.0,0.49999999999999994,-0.8660254037844387
44,9.0,1.0,1.0,0.0,0,1.0,0.0,2.0,5,225,2,0.0,0.49999999999999994,-0.8660254037844387
55,9.0,0.0,1.0,0.0,0,0.0,0.0,2.0,5,160,1,0.0,0.49999999999999994,-0.8660254037844387
29,4.0,2.0,2.0,0.0,0,1.0,0.0,2.0,5,363,1,0.0,0.49999999999999994,-0.8660254037844387
54,1.0,1.0,1.0,0.0,1291,1.0,0.0,2.0,5,266,1,0.0,0.49999999999999994,-0.8660254037844387
48,4.0,0.0,2.0,0.0,-244,1.0,0.0,2.0,5,253,1,0.0,0.49999999999999994,-0.8660254037844387
32,4.0,1.0,2.0,0.0,0,1.0,0.0,2.0,5,179,1,0.0,0.49999999999999994,-0.8660254037844387
42,0.0,2.0,1.0,0.0,-76,1.0,0.0,2.0,5,787,1,0.0,0.49999999999999994,-0.8660254037844387
24,9.0,2.0,1.0,0.0,-103,1.0,1.0,2.0,5,145,1,0.0,0.49999999999999994,-0.8660254037844387
38,2.0,2.0,2.0,0.0,243,0.0,1.0,2.0,5,174,1,0.0,0.49999999999999994,-0.8660254037844387
38,4.0,2.0,2.0,0.0,424,1.0,0.0,2.0,5,104,1,0.0,0.49999999999999994,-0.8660254037844387
46,7.0,1.0,0.0,0.0,179,1.0,0.0,2.0,5,1778,1,0.0,0.49999999999999994,-0.8660254037844387
32,0.0,1.0,2.0,0.0,0,1.0,0.0,2.0,5,138,1,0.0,0.49999999999999994,-0.8660254037844387
53,9.0,0.0,1.0,0.0,989,1.0,0.0,2.0,5,812,1,0.0,0.49999999999999994,-0.8660254037844387
57,1.0,1.0,0.0,0.0,249,1.0,0.0,2.0,5,164,1,0.0,0.49999999999999994,-0.8660254037844387
33,7.0,1.0,1.0,0.0,790,1.0,0.0,2.0,5,391,1,0.0,0.49999999999999994,-0.8660254037844387
51,4.0,1.0,2.0,0.0,6530,1.0,0.0,2.0,5,91,1,0.0,0.49999999999999994,-0.8660254037844387
60,5.0,1.0,2.0,0.0,100,0.0,0.0,2.0,5,528,1,0.0,0.49999999999999994,-0.8660254037844387
59,4.0,0.0,2.0,0.0,59,1.0,0.0,2.0,5,273,1,0.0,0.49999999999999994,-0.8660254037844387
55,9.0,1.0,1.0,0.0,1205,1.0,0.0,2.0,5,158,2,0.0,0.49999999999999994,-0.8660254037844387
35,1.0,2.0,1.0,0.0,12223,1.0,1.0,2.0,5,177,1,0.0,0.49999999999999994,-0.8660254037844387
57,1.0,1.0,1.0,0.0,5935,1.0,1.0,2.0,5,258,1,0.0,0.49999999999999994,-0.8660254037844387
31,7.0,1.0,1.0,0.0,25,1.0,1.0,2.0,5,172,1,0.0,0.49999999999999994,-0.8660254037844387
54,4.0,1.0,1.0,0.0,282,1.0,1.0,2.0,5,154,1,0.0,0.49999999999999994,-0.8660254037844387
55,1.0,1.0,0.0,0.0,23,1.0,0.0,2.0,5,291,1,0.0,0.49999999999999994,-0.8660254037844387
43,9.0,1.0,1.0,0.0,1937,1.0,0.0,2.0,5,181,1,0.0,0.49999999999999994,-0.8660254037844387
53,9.0,1.0,1.0,0.0,384,1.0,0.0,2.0,5,176,1,0.0,0.49999999999999994,-0.8660254037844387
44,1.0,1.0,1.0,0.0,582,0.0,1.0,2.0,5,211,1,0.0,0.49999999999999994,-0.8660254037844387
55,7.0,0.0,1.0,0.0,91,0.0,0.0,2.0,5,349,1,0.0,0.49999999999999994,-0.8660254037844387
49,7.0,0.0,1.0,0.0,0,1.0,1.0,2.0,5,272,1,0.0,0.49999999999999994,-0.8660254037844387
55,7.0,0.0,1.0,1.0,1,1.0,0.0,2.0,5,208,1,0.0,0.49999999999999994,-0.8660254037844387
45,0.0,2.0,1.0,0.0,206,1.0,0.0,2.0,5,193,1,0.0,0.49999999999999994,-0.8660254037844387
47,7.0,0.0,1.0,0.0,164,0.0,0.0,2.0,5,212,1,0.0,0.49999999999999994,-0.8660254037844387
42,9.0,2.0,1.0,0.0,690,1.0,0.0,2.0,5,20,1,0.0,0.49999999999999994,-0.8660254037844387
59,0.0,1.0,1.0,0.0,2343,1.0,0.0,2.0,5,1042,1,1.0,0.49999999999999994,-0.8660254037844387
46,6.0,1.0,2.0,0.0,137,1.0,1.0,2.0,5,246,1,0.0,0.49999999999999994,-0.8660254037844387
51,1.0,1.0,0.0,0.0,173,1.0,0.0,2.0,5,529,2,0.0,0.49999999999999994,-0.8660254037844387
56,0.0,1.0,1.0,0.0,45,0.0,0.0,2.0,5,1467,1,1.0,0.49999999999999994,-0.8660254037844387
41,9.0,1.0,1.0,0.0,1270,1.0,0.0,2.0,5,1389,1,1.0,0.49999999999999994,-0.8660254037844387
46,4.0,0.0,1.0,0.0,16,1.0,1.0,2.0,5,188,2,0.0,0.49999999999999994,-0.8660254037844387
57,5.0,1.0,1.0,0.0,486,1.0,0.0,2.0,5,180,2,0.0,0.49999999999999994,-0.8660254037844387
42,4.0,2.0,1.0,0.0,50,0.0,0.0,2.0,5,48,1,0.0,0.49999999999999994,-0.8660254037844387
