age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y,campaign_squared,quarter,season,march,many_contacts,long_call,duration_log
27,4.0,2.0,1.0,0.0,35,0.0,0.0,0.0,4,5.0,255,1,0.0,1,3,3,False,False,False,5.545177444479562
54,1.0,1.0,0.0,0.0,466,0.0,0.0,0.0,4,5.0,297,1,0.0,1,3,3,False,False,False,5.697093486505405
43,1.0,1.0,1.0,0.0,105,0.0,1.0,0.0,4,5.0,668,2,0.0,4,3,3,False,False,True,6.505784060128229
31,9.0,2.0,1.0,0.0,19,0.0,0.0,1.0,4,5.0,65,2,0.0,4,3,3,False,False,False,4.189654742026425
27,9.0,2.0,1.0,0.0,126,1.0,1.0,0.0,4,5.0,436,4,0.0,16,3,3,False,False,False,6.07993319509559
28,1.0,2.0,1.0,0.0,-127,1.0,0.0,0.0,4,5.0,1044,3,1.0,9,3,3,False,False,True,6.951772164398911
50,1.0,1.0,1.0,0.0,1329,1.0,1.0,1.0,4,5.0,141,2,0.0,4,3,3,False,False,False,4.955827057601261
29,1.0,2.0,0.0,0.0,343,0.0,0.0,0.0,4,5.0,39,2,0.0,4,3,3,False,False,False,3.6888794541139363
25,1.0,2.0,1.0,0.0,192,0.0,0.0,1.0,4,5.0,112,2,0.0,4,3,3,False,False,False,4.727387818712341
38,1.0,1.0,1.0,0.0,43,0.0,1.0,0.0,4,5.0,135,3,0.0,9,3,3,False,False,False,4.912654885736052
36,9.0,2.0,1.0,0.0,-272,0.0,1.0,0.0,4,5.0,53,6,0.0,36,3,3,False,False,False,3.9889840465642745
32,1.0,0.0,0.0,0.0,4805,0.0,1.0,0.0,4,5.0,138,3,0.0,9,3,3,False,False,False,4.9344739331306915
44,9.0,1.0,2.0,0.0,1146,0.0,0.0,0.0,4,5.0,178,2,0.0,4,3,3,False,False,False,5.187385805840755
37,1.0,1.0,0.0,0.0,380,1.0,1.0,0.0,4,5.0,548,2,0.0,4,3,3,False,False,True,6.3080984415095305
48,7.0,1.0,1.0,0.0,1355,0.0,0.0,0.0,4,5.0,134,2,0.0,4,3,3,False,False,False,4.90527477843843
30,0.0,1.0,1.0,0.0,215,0.0,1.0,0.0,4,5.0,95,2,0.0,4,3,3,False,False,False,4.564348191467836
54,9.0,1.0,1.0,0.0,187,0.0,1.0,0.0,4,5.0,273,3,0.0,9,3,3,False,False,False,5.6131281063880705
36,10.0,0.0,0.0,0.0,0,0.0,0.0,1.0,4,5.0,304,3,0.0,9,3,3,False,False,False,5.720311776607412
33,9.0,2.0,1.0,0.0,555,0.0,1.0,0.0,4,5.0,425,2,0.0,4,3,3,False,False,False,6.054439346269371
34,7.0,1.0,1.0,0.0,295,1.0,1.0,0.0,4,5.0,64,1,0.0,1,3,3,False,False,False,4.174387269895637
28,7.0,2.0,1.0,0.0,-116,0.0,1.0,0.0,4,5.0,276,1,0.0,1,3,3,False,False,False,5.6240175061873385
33,4.0,1.0,1.0,0.0,4385,0.0,1.0,0.0,4,5.0,92,1,0.0,1,3,3,False,False,False,4.532599493153256
30,7.0,1.0,1.0,0.0,137,0.0,0.0,0.0,4,5.0,407,1,0.0,1,3,3,False,False,False,6.0112671744041615
34,0.0,2.0,1.0,0.0,296,0.0,0.0,0.0,7,5.0,147,4,0.0,16,3,3,False,False,False,4.997212273764115
35,0.0,0.0,1.0,0.0,534,0.0,0.0,0.0,7,5.0,148,3,0.0,9,3,3,False,False,False,5.003946305945459
44,2.0,1.0,1.0,0.0,93,0.0,0.0,0.0,7,5.0,125,2,0.0,4,3,3,False,False,False,4.836281906951478
36,7.0,1.0,1.0,0.0,-27,1.0,1.0,0.0,7,5.0,151,4,0.0,16,3,3,False,False,False,5.0238805208462765
49,1.0,1.0,0.0,0.0,-157,1.0,0.0,0.0,7,5.0,491,3,1.0,9,3,3,False,False,False,6.198478716492308
55,1.0,1.0,1.0,0.0,49,1.0,0.0,0.0,7,5.0,494,4,1.0,16,3,3,False,False,False,6.20455776256869
51,9.0,1.0,1.0,0.0,216,0.0,0.0,0.0,7,5.0,615,2,1.0,4,3,3,False,False,True,6.423246963533519
51,4.0,1.0,2.0,0.0,1421,1.0,0.0,0.0,7,5.0,152,5,0.0,25,3,3,False,False,False,5.030437921392435
38,1.0,1.0,1.0,0.0,222,1.0,1.0,0.0,7,5.0,164,5,0.0,25,3,3,False,False,False,5.10594547390058
59,2.0,1.0,2.0,0.0,1728,0.0,0.0,0.0,7,5.0,575,2,0.0,4,3,3,False,False,True,6.3561076606958915
54,4.0,0.0,2.0,0.0,5253,1.0,1.0,0.0,7,5.0,17,19,0.0,361,3,3,False,True,False,2.8903717578961645
43,4.0,2.0,2.0,0.0,47,1.0,0.0,0.0,7,5.0,316,5,0.0,25,3,3,False,False,False,5.75890177387728
60,2.0,0.0,0.0,0.0,2648,0.0,0.0,0.0,7,5.0,148,2,0.0,4,3,3,False,False,False,5.003946305945459
34,7.0,1.0,1.0,0.0,0,0.0,0.0,0.0,7,5.0,160,3,0.0,9,3,3,False,False,False,5.081404364984463
31,0.0,2.0,1.0,0.0,-182,1.0,0.0,0.0,7,5.0,181,2,0.0,4,3,3,False,False,False,5.204006687076795
43,9.0,1.0,1.0,1.0,-313,0.0,1.0,0.0,7,5.0,89,4,0.0,16,3,3,False,False,False,4.499809670330265
53,1.0,1.0,0.0,0.0,465,1.0,0.0,0.0,7,5.0,111,2,0.0,4,3,3,False,False,False,4.718498871295094
