age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y,campaign_squared,quarter,season,march,many_contacts,long_call,duration_log
58,4.0,1.0,2.0,0.0,2143,1.0,0.0,2.0,5,8.0,261,1,0.0,1,2,2,False,False,False,5.568344503761097
44,9.0,2.0,1.0,0.0,29,1.0,0.0,2.0,5,8.0,151,1,0.0,1,2,2,False,False,False,5.0238805208462765
33,2.0,1.0,1.0,0.0,2,1.0,1.0,2.0,5,8.0,76,1,0.0,1,2,2,False,False,False,4.343805421853684
35,4.0,1.0,2.0,0.0,231,1.0,0.0,2.0,5,8.0,139,1,0.0,1,2,2,False,False,False,4.941642422609304
28,4.0,2.0,2.0,0.0,447,1.0,1.0,2.0,5,8.0,217,1,0.0,1,2,2,False,False,False,5.384495062789089
42,2.0,0.0,2.0,1.0,2,1.0,0.0,2.0,5,8.0,380,1,0.0,1,2,2,False,False,False,5.942799375126701
58,5.0,1.0,0.0,0.0,121,1.0,0.0,2.0,5,8.0,50,1,0.0,1,2,2,False,False,False,3.9318256327243257
43,9.0,2.0,1.0,0.0,593,1.0,0.0,2.0,5,8.0,55,1,0.0,1,2,2,False,False,False,4.02535169073515
41,0.0,0.0,1.0,0.0,270,1.0,0.0,2.0,5,8.0,222,1,0.0,1,2,2,False,False,False,5.407171771460119
29,0.0,2.0,1.0,0.0,390,1.0,0.0,2.0,5,8.0,137,1,0.0,1,2,2,False,False,False,4.927253685157205
53,9.0,1.0,1.0,0.0,6,1.0,0.0,2.0,5,8.0,517,1,0.0,1,2,2,False,False,True,6.249975242259483
57,7.0,1.0,1.0,0.0,162,1.0,0.0,2.0,5,8.0,174,1,0.0,1,2,2,False,False,False,5.1647859739235145
51,5.0,1.0,0.0,0.0,229,1.0,0.0,2.0,5,8.0,353,1,0.0,1,2,2,False,False,False,5.869296913133774
57,1.0,1.0,0.0,0.0,52,1.0,0.0,2.0,5,8.0,38,1,0.0,1,2,2,False,False,False,3.6635616461296463
60,5.0,1.0,0.0,0.0,60,1.0,0.0,2.0,5,8.0,219,1,0.0,1,2,2,False,False,False,5.393627546352362
33,7.0,1.0,1.0,0.0,0,1.0,0.0,2.0,5,8.0,54,1,0.0,1,2,2,False,False,False,4.007333185232471
28,1.0,1.0,1.0,0.0,723,1.0,1.0,2.0,5,8.0,262,1,0.0,1,2,2,False,False,False,5.572154032177765
56,4.0,1.0,2.0,0.0,779,1.0,0.0,2.0,5,8.0,164,1,0.0,1,2,2,False,False,False,5.10594547390058
32,1.0,2.0,0.0,0.0,23,1.0,1.0,2.0,5,8.0,160,1,0.0,1,2,2,False,False,False,5.081404364984463
25,7.0,1.0,1.0,0.0,50,1.0,0.0,2.0,5,8.0,342,1,0.0,1,2,2,False,False,False,5.8377304471659395
40,5.0,1.0,0.0,0.0,0,1.0,1.0,2.0,5,8.0,181,1,0.0,1,2,2,False,False,False,5.204006687076795
44,0.0,1.0,1.0,0.0,-372,1.0,0.0,2.0,5,8.0,172,1,0.0,1,2,2,False,False,False,5.153291594497779
39,4.0,2.0,2.0,0.0,255,1.0,0.0,2.0,5,8.0,296,1,0.0,1,2,2,False,False,False,5.6937321388027
